matrix_size,optimization,p50_us,p95_us,p99_us,speedup,max_error
128,Baseline,25.25,26.59,38.94,1.00,7.1526e-07
128,FP16,24.96,26.18,27.78,1.01,1.5388e-02
128,Shared Memory,20.77,22.02,23.49,1.22,7.1526e-07
128,WMMA Tensor Cores,10.40,11.58,18.43,2.43,1.0422e-03
128,Kernel Fusion,25.34,26.62,28.06,1.00,7.1526e-07
128,Combined,22.53,23.68,26.62,1.12,1.0422e-03
256,Baseline,133.12,138.37,144.13,1.00,1.6689e-06
256,FP16,130.40,131.49,137.82,1.02,2.7176e-02
256,Shared Memory,91.23,92.19,104.48,1.46,1.6689e-06
256,WMMA Tensor Cores,27.71,28.67,32.67,4.80,1.5813e-03
256,Kernel Fusion,132.61,134.40,138.62,1.00,1.6689e-06
256,Combined,38.50,39.07,49.15,3.46,1.5813e-03
512,Baseline,942.21,947.42,953.41,1.00,2.8610e-06
512,FP16,505.28,514.98,529.09,1.86,7.5443e-02
512,Shared Memory,334.56,339.97,343.46,2.82,2.8610e-06
512,WMMA Tensor Cores,97.82,99.46,107.26,9.63,2.3140e-03
512,Kernel Fusion,509.86,511.62,518.14,1.85,2.8610e-06
512,Combined,46.98,47.49,52.67,20.06,2.2006e-03
1024,Baseline,4595.07,4641.25,4800.19,1.00,4.7684e-06
1024,FP16,3809.41,3853.02,3870.02,1.21,1.2584e-01
1024,Shared Memory,2830.37,2920.61,2951.84,1.62,4.7684e-06
1024,WMMA Tensor Cores,653.31,747.55,756.48,7.03,3.4633e-03
1024,Kernel Fusion,4593.92,4681.73,4801.38,1.00,4.7684e-06
1024,Combined,288.77,323.26,325.73,15.91,3.2049e-03
2048,Baseline,43073.79,43608.06,43953.98,1.00,8.5831e-06
2048,FP16,38264.89,39043.62,39271.17,1.13,3.2265e-01
2048,Shared Memory,28790.72,28800.13,30068.58,1.50,8.5831e-06
2048,WMMA Tensor Cores,9399.14,9594.88,9768.26,4.58,4.9744e-03
2048,Kernel Fusion,44743.58,45082.66,45179.11,0.96,7.6294e-06
2048,Combined,3678.88,3833.92,3840.42,11.71,4.9744e-03
